,help_config_id,heuristic_value,empirical_voa,ci_low_95,ci_high_95,ci_low_90,ci_high_90,ci_low_80,ci_high_80,computation_time,env_instance_id
90,0,1.1720885375926782,-4.720320709899949,-5.794436062732038,-3.735076347527424,-5.556492195593039,-3.9134727744531936,-5.408795374911751,-4.073667423041691,0.10687732696533203,3
91,1,-0.33290945981794984,-5.679513708753567,-7.04019059175991,-4.403378606556669,-6.83334601893382,-4.613138844892026,-6.516424307074072,-4.8476217434881805,0.12730932235717773,3
92,2,-0.03216084359088923,-4.177990343167625,-5.136629391005244,-3.3080592563219935,-4.981314526695854,-3.413871909583261,-4.8012039438617204,-3.6126472164972045,0.10380029678344727,3
93,3,-1.042179984341148,-7.3619080907949765,-8.357490313126194,-6.3459303492337895,-8.217221620477838,-6.483772365662437,-8.054970850883121,-6.662003363393846,0.12875032424926758,3
94,4,-1.1662919880200056,-5.619074169264942,-6.708380853266635,-4.540162212675198,-6.549404434631135,-4.734653274797331,-6.334669877760624,-4.930949330561375,0.10415792465209961,3
95,5,-1.6687894953080602,-7.845554872578555,-8.696719452254518,-7.016415200817575,-8.564767133001075,-7.136238298807809,-8.380183253924827,-7.300199269581341,0.12376785278320312,3
96,6,1.253501921253517,-5.941425405729128,-7.011357575607272,-4.9608582739353135,-6.8494972799879585,-5.088717412832083,-6.643415498562753,-5.274749585732229,0.10253214836120605,3
97,7,1.5497611401100098,-3.019844708599361,-3.906235334747427,-2.0536453996515736,-3.783090780089674,-2.2061643340807544,-3.6302225997387545,-2.408933116616384,0.12549281120300293,3
98,8,-0.5158057133084346,-6.7314499339632,-7.829347501221358,-5.570889200592655,-7.698983760516082,-5.761858494131772,-7.473054049165544,-5.98276032821179,0.17986035346984863,3
99,9,3.6401509303267785,-0.5248517118445969,-1.3525523626696625,0.3230334239811629,-1.2165340344854827,0.18041536645188816,-1.0587365691290231,0.013263810442550525,0.23020339012145996,3
100,10,2.966787508223864,-1.7706571510855036,-2.5973814390346632,-0.8460567084606353,-2.5061785561385292,-1.0104977083312738,-2.3602317480625334,-1.184035520587921,0.2532672882080078,3
101,11,1.942210026188547,-3.086143866371263,-3.86453379499991,-2.2748018450737835,-3.7611430746130745,-2.4192132624889755,-3.5986371837151054,-2.5888920474694346,0.14156699180603027,3
102,12,0.8915211531705796,-5.391825964619974,-6.345285060836056,-4.48271891566512,-6.189140128814821,-4.634437412370045,-6.0126335380539135,-4.768184357108732,0.1474449634552002,3
103,13,1.0409604705999738,-2.6557639428961646,-3.5206628176686543,-1.8948305429391352,-3.390217013844744,-1.9916480916265646,-3.2444307371001933,-2.1291459366440963,0.12941932678222656,3
